REF_AREA,TIME_PERIOD,HP_R_N
ES,2020-01-01,85.3385
ES,2020-04-01,85.2464
ES,2020-07-01,86.7542
ES,2020-10-01,85.3705
ES,2021-01-01,85.6374
ES,2021-04-01,85.8483
ES,2021-07-01,87.4019
ES,2021-10-01,85.7609
ES,2022-01-01,86.1696
ES,2022-04-01,85.0242
ES,2022-07-01,85.4797
ES,2022-10-01,84.8562
ES,2023-01-01,84.9326
ES,2023-04-01,85.5698
ES,2023-07-01,86.9031
ES,2023-10-01,85.7
ES,2024-01-01,87.6101
ES,2024-04-01,89.2714
ES,2024-07-01,92.0855
ES,2024-10-01,93.241
FI,2000-01-01,73.7069
FI,2000-04-01,73.8911
FI,2000-07-01,72.0934
FI,2000-10-01,70.559
FI,2001-01-01,70.4522
FI,2001-04-01,70.1398
FI,2001-07-01,69.8763
FI,2001-10-01,70.1451
FI,2002-01-01,72.4307
FI,2002-04-01,74.1808
FI,2002-07-01,75.1253
FI,2002-10-01,75.0722
FI,2003-01-01,75.998
FI,2003-04-01,77.4488
FI,2003-07-01,79.3576
FI,2003-10-01,80.263
FI,2004-01-01,82.4051
FI,2004-04-01,84.2748
FI,2004-07-01,84.2127
FI,2004-10-01,84.4093
FI,2005-01-01,86.2434
FI,2005-04-01,88.3767
FI,2005-07-01,89.8944
FI,2005-10-01,91.6647
FI,2006-01-01,92.4703
FI,2006-04-01,93.5678
FI,2006-07-01,94.0714
FI,2006-10-01,94.9536
FI,2007-01-01,96.5838
FI,2007-04-01,97.1541
FI,2007-07-01,97.1601
FI,2007-10-01,96.6425
FI,2008-01-01,96.0886
FI,2008-04-01,95.6217
FI,2008-07-01,93.6643
FI,2008-10-01,90.1046
FI,2009-01-01,92.7232
FI,2009-04-01,94.1247
FI,2009-07-01,95.8955
FI,2009-10-01,98.0789
FI,2010-01-01,99.6381
FI,2010-04-01,99.7295
FI,2010-07-01,100.9364
FI,2010-10-01,99.6978
FI,2011-01-01,99.6476
FI,2011-04-01,100.6222
FI,2011-07-01,99.987
FI,2011-10-01,98.79
FI,2012-01-01,99.2969
FI,2012-04-01,99.4951
FI,2012-07-01,99.3799
FI,2012-10-01,99.2816
FI,2013-01-01,99.5415
FI,2013-04-01,99.303
FI,2013-07-01,99.1486
FI,2013-10-01,98.217
FI,2014-01-01,98.0463
FI,2014-04-01,98.199
FI,2014-07-01,97.5806
FI,2014-10-01,96.9307
FI,2015-01-01,97.5758
FI,2015-04-01,98.2222
FI,2015-07-01,98.2029
FI,2015-10-01,97.5637
FI,2016-01-01,98.5894
FI,2016-04-01,99.0892
FI,2016-07-01,99.3389
FI,2016-10-01,98.1322
FI,2017-01-01,98.8126
FI,2017-04-01,99.8801
FI,2017-07-01,99.2484
FI,2017-10-01,98.5103
FI,2018-01-01,99.0566
FI,2018-04-01,99.6786
FI,2018-07-01,98.9346
FI,2018-10-01,98.2704
FI,2019-01-01,98.3059
FI,2019-04-01,99.1298
FI,2019-07-01,98.4861
FI,2019-10-01,97.6029
FI,2020-01-01,98.643
FI,2020-04-01,100.0054
FI,2020-07-01,99.8686
FI,2020-10-01,100.904
FI,2021-01-01,101.662
FI,2021-04-01,103.3056
FI,2021-07-01,102.4113
FI,2021-10-01,101.2586
FI,2022-01-01,100.0867
FI,2022-04-01,98.9588
FI,2022-07-01,96.2873
FI,2022-10-01,90.8526
FI,2023-01-01,87.6533
FI,2023-04-01,87.3743
FI,2023-07-01,84.4573
FI,2023-10-01,83.2555
FI,2024-01-01,81.681
FI,2024-04-01,81.7254
FI,2024-07-01,81.216
FI,2024-10-01,80.8844
FR,2000-01-01,57.0576
FR,2000-04-01,58.3987
FR,2000-07-01,60.1994
FR,2000-10-01,59.7164
FR,2001-01-01,60.4545
FR,2001-04-01,61.5375
FR,2001-07-01,63.2236
FR,2001-10-01,63.428
FR,2002-01-01,63.5734
FR,2002-04-01,65.2558
FR,2002-07-01,67.7271
FR,2002-10-01,68.1344
FR,2003-01-01,68.8788
FR,2003-04-01,71.233
FR,2003-07-01,74.0753
FR,2003-10-01,74.8175
FR,2004-01-01,76.8672
FR,2004-04-01,79.2415
FR,2004-07-01,82.9537
FR,2004-10-01,84.5347
FR,2005-01-01,87.0158
FR,2005-04-01,89.9107
FR,2005-07-01,93.8085
FR,2005-10-01,95.3833
FR,2006-01-01,97.2748
FR,2006-04-01,99.2514
FR,2006-07-01,102.2009
FR,2006-10-01,103.1594
FR,2007-01-01,103.7818
FR,2007-04-01,104.4941
FR,2007-07-01,106.6731
FR,2007-10-01,106.2858
FR,2008-01-01,104.9238
FR,2008-04-01,103.8905
FR,2008-07-01,103.9231
FR,2008-10-01,100.9857
FR,2009-01-01,97.6274
FR,2009-04-01,95.769
FR,2009-07-01,97.3461
FR,2009-10-01,97.3731
FR,2010-01-01,97.5619
FR,2010-04-01,98.6505
FR,2010-07-01,101.4767
FR,2010-10-01,102.2866
FR,2011-01-01,102.1835
FR,2011-04-01,103.0256
FR,2011-07-01,105.2365
FR,2011-10-01,103.5496
FR,2012-01-01,101.6158
FR,2012-04-01,100.8134
FR,2012-07-01,101.5615
FR,2012-10-01,99.876
FR,2013-01-01,98.5358
FR,2013-04-01,97.9094
FR,2013-07-01,98.7113
FR,2013-10-01,97.7057
FR,2014-01-01,96.3972
FR,2014-04-01,96.1602
FR,2014-07-01,97.0861
FR,2014-10-01,95.3437
FR,2015-01-01,94.8173
FR,2015-04-01,94.0651
FR,2015-07-01,95.6777
FR,2015-10-01,95.1597
FR,2016-01-01,95.1417
FR,2016-04-01,94.7332
FR,2016-07-01,96.8292
FR,2016-10-01,96.198
FR,2017-01-01,96.6222
FR,2017-04-01,96.9934
FR,2017-07-01,99.0877
FR,2017-10-01,98.289
FR,2018-01-01,98.1154
FR,2018-04-01,97.8563
FR,2018-07-01,99.5677
FR,2018-10-01,99.5774
FR,2019-01-01,99.7798
FR,2019-04-01,99.861
FR,2019-07-01,101.9361
FR,2019-10-01,102.2275
FR,2020-01-01,103.4148
FR,2020-04-01,104.734
FR,2020-07-01,106.5583
FR,2020-10-01,108.1316
FR,2021-01-01,108.3302
FR,2021-04-01,109.5674
FR,2021-07-01,112.2212
FR,2021-10-01,112.506
FR,2022-01-01,111.8103
FR,2022-04-01,111.1144
FR,2022-07-01,112.8255
FR,2022-10-01,111.0625
FR,2023-01-01,108.5265
FR,2023-04-01,106.3737
FR,2023-07-01,106.0945
FR,2023-10-01,103.2303
FR,2024-01-01,100.5492
FR,2024-04-01,99.3328
FR,2024-07-01,100.65
FR,2024-10-01,100.0346
GR,2000-01-01,77.6642
GR,2000-04-01,78.1938
GR,2000-07-01,80.8527
GR,2000-10-01,81.5257
GR,2001-01-01,85.6593
GR,2001-04-01,86.7088
GR,2001-07-01,89.5565
GR,2001-10-01,90.2583
GR,2002-01-01,93.9116
GR,2002-04-01,96.7616
GR,2002-07-01,98.0545
GR,2002-10-01,98.2402
GR,2003-01-01,99.4764
GR,2003-04-01,97.071
GR,2003-07-01,99.1389
GR,2003-10-01,98.3198
GR,2004-01-01,97.8569
GR,2004-04-01,96.3905
GR,2004-07-01,98.6319
GR,2004-10-01,98.861
GR,2005-01-01,101.9492
GR,2005-04-01,103.0645
GR,2005-07-01,106.5434
GR,2005-10-01,107.9165
GR,2006-01-01,112.0074
GR,2006-04-01,113.0191
GR,2006-07-01,115.5599
GR,2006-10-01,118.6806
GR,2007-01-01,118.5487
GR,2007-04-01,117.6459
GR,2007-07-01,119.5312
GR,2007-10-01,117.2875
GR,2008-01-01,116.9994
GR,2008-04-01,114.2616
GR,2008-07-01,115.9146
GR,2008-10-01,114.6558
GR,2009-01-01,111.4224
GR,2009-04-01,110.6971
GR,2009-07-01,109.2424
GR,2009-10-01,107.9627
GR,2010-01-01,106.2279
GR,2010-04-01,100.3345
GR,2010-07-01,98.1406
GR,2010-10-01,95.5631
GR,2011-01-01,95.9735
GR,2011-04-01,91.965
GR,2011-07-01,91.314
GR,2011-10-01,86.8191
GR,2012-01-01,84.1442
GR,2012-04-01,80.7683
GR,2012-07-01,78.7745
GR,2012-10-01,74.8793
GR,2013-01-01,74.4672
GR,2013-04-01,71.4453
GR,2013-07-01,71.4849
GR,2013-10-01,69.1792
GR,2014-01-01,68.6038
GR,2014-04-01,66.5535
GR,2014-07-01,66.976
GR,2014-10-01,66.5695
GR,2015-01-01,67.3849
GR,2015-04-01,64.6323
GR,2015-07-01,64.2537
GR,2015-10-01,63.5543
GR,2016-01-01,65.0473
GR,2016-04-01,63.5975
GR,2016-07-01,63.7544
GR,2016-10-01,63.1803
GR,2017-01-01,62.9425
GR,2017-04-01,62.1274
GR,2017-07-01,62.7283
GR,2017-10-01,62.3916
GR,2018-01-01,63.3131
GR,2018-04-01,62.5783
GR,2018-07-01,63.5409
GR,2018-10-01,63.6839
GR,2019-01-01,66.352
GR,2019-04-01,67.1166
GR,2019-07-01,68.8516
GR,2019-10-01,68.3819
GR,2020-01-01,70.564
GR,2020-04-01,70.9774
GR,2020-07-01,72.9046
GR,2020-10-01,72.0312
GR,2021-01-01,74.9826
GR,2021-04-01,75.6339
GR,2021-07-01,77.9059
GR,2021-10-01,75.8914
GR,2022-01-01,76.7863
GR,2022-04-01,75.4159
GR,2022-07-01,78.5656
GR,2022-10-01,80.0765
GR,2023-01-01,83.8519
GR,2023-04-01,84.4807
GR,2023-07-01,86.629
GR,2023-10-01,87.1808
GR,2024-01-01,90.1308
GR,2024-04-01,90.2089
GR,2024-07-01,90.9544
GR,2024-10-01,90.7103
HR,2000-01-01,74.2481
HR,2000-04-01,71.4905
HR,2000-07-01,66.4132
HR,2000-10-01,63.8407
HR,2001-01-01,70.5444
HR,2001-04-01,70.0393
HR,2001-07-01,64.2258
HR,2001-10-01,65.8798
HR,2002-01-01,68.9543
HR,2002-04-01,67.8864
HR,2002-07-01,72.081
HR,2002-10-01,72.05
HR,2003-01-01,77.5777
HR,2003-04-01,79.7016
HR,2003-07-01,80.41
HR,2003-10-01,85.632
HR,2004-01-01,86.2733
HR,2004-04-01,88.5831
HR,2004-07-01,92.0956
HR,2004-10-01,96.8975
HR,2005-01-01,95.0263
HR,2005-04-01,98.5644
HR,2005-07-01,100.2746
HR,2005-10-01,103.9362
HR,2006-01-01,106.3363
HR,2006-04-01,106.9212
HR,2006-07-01,110.2183
HR,2006-10-01,117.1739
HR,2007-01-01,119.4848
HR,2007-04-01,122.4711
HR,2007-07-01,124.5621
HR,2007-10-01,121.0109
HR,2008-01-01,117.4896
HR,2008-04-01,115.8928
HR,2008-07-01,117.0475
HR,2008-10-01,114.4506
HR,2009-01-01,112.6281
HR,2009-04-01,107.6494
HR,2009-07-01,106.5839
HR,2009-10-01,104.6231
HR,2010-01-01,102.0921
HR,2010-04-01,99.7015
HR,2010-07-01,99.1884
HR,2010-10-01,99.0345
