REF_AREA,TIME_PERIOD,B50,D06,D07,D08,D09,D10,ALL,B50_share,M40_share,T10_share,B50_share_change,M40_share_change,T10_share_change,HP_R_N,Stock_Price,HP_R_Change,STOCK_Change,owner_ALL
AT,2021-04-01,63139.07000000001,70341.89,101337.03,149547.79,228599.48,1051002.16,1663967.42,0.037944895579746396,0.3304308626427313,0.6316242417775223,0.0060439993112009205,-0.0019388677644036623,6.535069295522944e-4,157.55,4034.1099999999983,0.0128611515689121,0.08734004218212377,47.61
AT,2021-07-01,63849.8,72390.42,102705.84,152163.05000000002,233476.6,1074589.41,1699175.1199999999,0.03757693909736626,0.33000477902477765,0.6324182818778561,-0.009744450609198374,-0.0012903109710840077,0.0012563504627698951,159.8272,4132.639499999999,0.014350363410299494,0.024130599568724875,47.61
AT,2021-10-01,66148.15,74618.48000000001,106414.8,157333.41,241769.8,1123127.94,1769412.5799999998,0.03738424308026565,0.3278695407489417,0.6347462161707927,-0.005141232727448042,-0.0064913486040445445,0.003674245791233821,162.4088,4216.628727272727,0.016023381838039974,0.020119622031112172,47.61
BE,2010-07-01,137092.13999999998,100532.19,134801.27,176482.72,252990.23,1117389.42,1919287.9699999997,0.07142864548877467,0.3463817938691087,0.5821895606421167,NA,NA,NA,101.0517,2715.9393787878794,0.018301730982995146,-0.0072384484216367895,72.45
BE,2010-10-01,141563.5,102182.38999999998,136401.06,178947,255655.4,1147075.59,1961824.94,0.07215908877170253,0.3431426710275179,0.5846982402007797,0.010174261578844046,-0.009395305992422331,0.004299785158299763,100.2996,2817.7639848484837,-0.007470560138848725,0.036805767840368375,72.45
BE,2011-01-01,141490.33000000002,101885.9,135914.77,178700.02,253698.04,1141068.9,1952757.96,0.07245666534115679,0.343206246615428,0.5843370880434152,0.004115415934804911,1.852573420242365e-4,-6.178635668713239e-4,99.7994,2932.9304218750012,-0.004999535648747333,0.040058409949045526,72.45
BE,2011-04-01,143777.26,103289.77999999998,137176.90000000002,178509.85,256083.78,1150040.28,1968877.85,0.07302497714624602,0.3428655109305029,0.5841095119232511,0.007812871592975057,-9.932946785595753e-4,-3.8953619797132966e-4,99.3982,2862.6709841269844,-0.004028166428645008,-0.02424696766029566,72.45
BE,2011-07-01,146869.40000000002,104871.77,137869.68,181401.37,256474.88,1144037.48,1971524.58,0.07449534309128422,0.34522404990761,0.5802806070011057,0.01993507927412219,0.006855352407973747,-0.006576693946201417,100.9206,2381.5675606060613,0.015200064211740916,-0.18399618975647503,72.45
BE,2011-10-01,146633.19000000003,104901.86,137935.93000000002,181245.95,256834.35,1161625.8099999998,1989177.0899999999,0.07371550312797943,0.3423114479968197,0.5839730488752009,-0.010523482998012312,-0.008472636956824653,0.006343040858224791,100.0634,2277.785109375,-0.008530083963396606,-0.04455538223311617,72.45
BE,2012-01-01,148611.58,105293.17,138473.99000000002,180612.56,257814.7,1171235.72,2002041.72,0.07423001155040865,0.34074935261588857,0.5850206358337028,0.006955405140495863,-0.004573818619830083,0.0017922889620965998,99.463,2473.639892307692,-0.006018269383745611,0.08248717895455027,72.45
BE,2012-04-01,151318.24,106472.77,138986.17,181445.07,258860.48,1168340.2300000002,2005422.9600000002,0.0754545265603222,0.34195504074611766,0.5825904326935601,0.01636164085445735,0.0035320979195008206,-0.004162698889850103,99.3698,2226.1589365079367,-9.374711498884025e-4,-0.105413056154533,72.45
BE,2012-07-01,155403.38,107885.2,140029.14,182750.12,260456.05,1173642.87,2020166.7600000002,0.07692601575129371,0.3421106235804018,0.5809633606683045,0.019313947970761802,4.5487690752610277e-4,-0.0027967303189199155,100.0835,2400.9411076923084,0.007156593008167178,0.07558313834387587,72.45
BE,2012-10-01,156964.12,108073.25,140597.89,182258.57,259965.96,1171398.85,2019258.6400000001,0.07773353887939782,0.34215313299340394,0.5801133281271982,0.010442684493209065,1.2424861801729747e-4,-0.0014642145539157658,99.3677,2543.327062499999,-0.00717772641278458,0.05761230233202941,72.45
BE,2013-01-01,159152.25,108428.51,140803.72999999998,182636.57000000004,261172.35999999996,1183000.69,2035194.1099999999,0.0782000346885831,0.34052828995264733,0.5812716753587696,0.005983281088342007,-0.004760188440185553,0.001994769369663363,99.616,2676.5842741935485,0.002495683102451629,0.051068366042034796,72.45
BE,2013-04-01,162274.62,110277.46,141172.2,183832.56000000003,261452.6,1177420.54,2036429.98,0.07968583334252426,0.3421354168042645,0.5781787498532113,0.018821729077496574,0.004708408561219013,-0.00533517048203247,99.7773,2696.1122187499996,0.0016179082766099029,0.007269359278308407,72.45
BE,2013-07-01,165730.62,111212.51,141717.33,186699.50000000003,263881.61,1185764.0299999998,2055005.5999999996,0.08064728388088092,0.342340161992746,0.5770125541263732,0.011993305931018217,5.98254199070114e-4,-0.0020190528079534475,100.6686,2782.28146969697,0.008893231284546665,0.03146044733859288,72.45
BE,2013-10-01,165008.04000000004,110701.47,141419.12,182328.95,262185.73,1182624.83,2044268.1400000001,0.08071741508430495,0.34077489951978607,0.578507685395909,8.692261478433494e-4,-0.004582727861055957,0.0025878077298420177,99.6875,3017.560484375,-0.009793640841190943,0.08117745463273618,72.45
BE,2014-01-01,165987.18,109772.59,140567.68999999997,182920.52,261168.16,1187880.31,2048296.4500000002,0.08103669759326096,0.3390275660537321,0.5799357363530069,0.003947756484617759,-0.005140720731704462,0.0024654664244405655,98.186,3090.848412698413,-0.015176653973714593,0.02399690211873029,72.45
BE,2014-04-01,165439.41000000003,109975.37,139942.99999999997,181608.77,261946.57000000004,1194075.37,2052988.4900000002,0.08058467488047145,0.33778743201818917,0.5816278931013393,-0.005593615305504063,-0.0036646215788225245,0.002913586311556582,98.4335,3213.9506507936503,0.0025175542682474017,0.039055292306890976,72.45
BE,2014-07-01,171369.52000000002,112638.8,142566.71,184475.35,264368.35,1209244.4800000002,2084663.2100000002,0.0822048948616501,0.33772803521581785,0.5800670699225321,0.019906355009809307,-1.7585623247873272e-4,-0.0026871496695486385,99.9309,3173.144727272728,0.015097753863858365,-0.012777789060288924,72.45
BE,2014-10-01,167760.46,113552.84000000004,141595.06,186435.43,268298.44,1230251.9500000002,2107894.18,0.07958675610556502,0.33677296362192144,0.5836402802725136,-0.03236715006026891,-0.0028319371916061264,0.00614109995801726,100.499,3102.474875,0.005668830063315866,-0.022522983929873064,72.45
BE,2015-01-01,168831.49,114293.46,144911.93999999997,190609.48,276734.70999999996,1269433.45,2164814.53,0.07798889357971928,0.3356174766620769,0.5863936297582039,-0.02028127187662454,-0.003436955756850324,0.004706452598455146,99.1763,3441.982174603174,-0.013248702744214746,0.10384737922944254,72.45
BE,2015-04-01,170680.62,115965.52,148932.28999999998,193273.6,279248.61,1274981.38,2183082.02,0.07818332908994413,0.33778850874324917,0.5840281621668066,0.002490015283925562,0.0064479367576235624,-0.004042082654963419,99.6713,3621.11461904762,0.0049786974796885985,0.050734365273212845,72.45
BE,2015-07-01,173949.60000000003,118737.69,150551.86,197749.21,285232.94999999995,1272799.58,2199020.89,0.07910320488133245,0.342093935269528,0.5788028598491395,0.011696948952328423,0.01266537801490597,-0.008987268811655236,101.8188,3386.5137121212115,0.021316990964566074,-0.06698089554009634,72.45
