REF_AREA,TIME_PERIOD,GDP_PC
ES,2012-07-01,95.102
ES,2012-10-01,97.825
ES,2013-01-01,91.745
ES,2013-04-01,96.335
ES,2013-07-01,94.586
ES,2013-10-01,97.742
ES,2014-01-01,92.88
ES,2014-04-01,97.533
ES,2014-07-01,96.553
ES,2014-10-01,100.454
ES,2015-01-01,96.286
ES,2015-04-01,101.78
ES,2015-07-01,100.891
ES,2015-10-01,104.613
ES,2016-01-01,99.741
ES,2016-04-01,104.943
ES,2016-07-01,103.652
ES,2016-10-01,106.612
ES,2017-01-01,101.865
ES,2017-04-01,108.101
ES,2017-07-01,106.494
ES,2017-10-01,109.738
ES,2018-01-01,104.151
ES,2018-04-01,110.368
ES,2018-07-01,108.087
ES,2018-10-01,111.88
ES,2019-01-01,106.346
ES,2019-04-01,111.523
ES,2019-07-01,109.1
ES,2019-10-01,112.531
ES,2020-01-01,101.111
ES,2020-04-01,86.775
ES,2020-07-01,99.02
ES,2020-10-01,102.4
ES,2021-01-01,97.539
ES,2021-04-01,103.691
ES,2021-07-01,104.514
ES,2021-10-01,109.555
ES,2022-01-01,104.291
ES,2022-04-01,110.286
ES,2022-07-01,109.563
ES,2022-10-01,112.779
ES,2023-01-01,107.548
ES,2023-04-01,111.341
ES,2023-07-01,110.144
ES,2023-10-01,114.022
ES,2024-01-01,109.409
ES,2024-04-01,114.046
ES,2024-07-01,112.703
ES,2024-10-01,116.652
FI,2000-01-01,81.813
FI,2000-04-01,86.467
FI,2000-07-01,86.434
FI,2000-10-01,93.103
FI,2001-01-01,85.111
FI,2001-04-01,89.33
FI,2001-07-01,88.32
FI,2001-10-01,93.427
FI,2002-01-01,85.16
FI,2002-04-01,91.24
FI,2002-07-01,89.306
FI,2002-10-01,95.613
FI,2003-01-01,85.955
FI,2003-04-01,92.321
FI,2003-07-01,91.787
FI,2003-10-01,97.644
FI,2004-01-01,89.677
FI,2004-04-01,95.376
FI,2004-07-01,94.2
FI,2004-10-01,102.07
FI,2005-01-01,93.049
FI,2005-04-01,98.136
FI,2005-07-01,96.556
FI,2005-10-01,102.839
FI,2006-01-01,96.87
FI,2006-04-01,101.337
FI,2006-07-01,99.791
FI,2006-10-01,106.721
FI,2007-01-01,100.555
FI,2007-04-01,106.719
FI,2007-07-01,104.602
FI,2007-10-01,112.537
FI,2008-01-01,103.155
FI,2008-04-01,108.441
FI,2008-07-01,105.164
FI,2008-10-01,109.005
FI,2009-01-01,93.535
FI,2009-04-01,97.878
FI,2009-07-01,96.589
FI,2009-10-01,101.502
FI,2010-01-01,93.743
FI,2010-04-01,101.265
FI,2010-07-01,98.4
FI,2010-10-01,106.592
FI,2011-01-01,98.318
FI,2011-04-01,102.692
